Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
2017-10-03,17.3,25.8,0.6,5.4,7.4,44,17,24,73,51.0,1015.1,1014.0,3,3,19.3,25.1
2017-10-04,11.7,17.9,8.8,7.8,6.1,54,26,26,51,56.0,1009.3,1008.5,7,7,13.9,15.7
2017-10-05,10.5,21.7,0.0,3.4,10.0,37,20,13,70,52.0,1025.1,1021.9,1,1,13.3,20.3
2017-10-06,12.5,18.1,38.8,3.6,0.2,50,17,15,85,70.0,1031.9,1030.2,7,7,15.8,17.5
2017-11-01,24.0,37.7,0.0,7.4,10.9,63,9,20,53,47.0,1007.6,1003.4,4,7,29.2,31.4
2017-11-02,23.9,36.2,0.0,11.0,11.4,63,9,19,72,51.0,1007.8,1002.7,5,3,26.4,33.1
2017-11-03,16.9,26.1,0.2,5.0,10.7,31,17,20,61,47.0,1014.2,1012.3,5,2,20.1,25.5
2017-11-04,13.8,23.0,0.0,3.6,2.1,54,22,26,56,48.0,1017.2,1017.3,7,7,17.9,22.2
2017-11-05,10.9,22.1,0.0,2.0,8.5,30,24,19,73,56.0,1024.7,1022.9,1,7,13.4,19.7
2017-11-06,12.5,17.2,2.8,1.6,0.2,20,15,6,90,85.0,1029.2,1025.9,5,6,13.1,16.0
2017-12-01,22.3,28.4,0.0,9.4,7.2,31,7,20,68,52.0,1012.4,1010.7,7,2,24.7,26.8
2017-12-02,24.5,31.9,0.0,10.4,7.8,59,2,33,67,59.0,1000.5,998.0,1,7,28.1,28.1
2017-12-03,17.4,26.4,0.0,7.2,10.6,46,9,28,62,50.0,1010.6,1007.7,1,1,22.3,26.0
2017-12-04,15.0,22.7,9.4,4.2,2.8,43,19,17,71,75.0,1023.7,1022.2,7,7,17.4,20.2
2017-12-05,12.5,19.6,0.4,2.6,1.7,26,19,17,78,71.0,1027.0,1024.5,7,7,14.1,18.5
2017-12-06,11.3,20.4,1.2,0.8,7.5,26,15,15,92,59.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-07,15.0,28.0,1.2,0.8,7.5,26,15,15,92,45.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-08,13.0,27.0,1.2,0.8,7.5,26,15,15,92,35.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-09,10.0,25.0,1.2,0.8,7.5,26,15,15,92,40.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-10,20.0,35.0,1.2,0.8,7.5,26,15,15,92,60.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-11,15.0,28.0,1.2,0.8,7.5,26,15,15,92,45.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-12,15.0,28.0,1.2,0.8,7.5,26,15,15,92,45.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-13,15.0,28.0,1.2,0.8,7.5,26,15,15,92,45.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-14,10.0,25.0,1.2,0.8,7.5,26,15,15,92,60.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-15,15.0,28.0,1.2,0.8,7.5,26,15,15,92,45.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-16,15.0,28.0,1.2,0.8,7.5,26,15,15,92,45.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-17,15.0,28.0,1.2,0.8,7.5,26,15,15,92,90.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-18,7.0,10.0,1.2,0.8,7.5,26,15,15,92,90.0,1025.0,1024.0,2,3,11.6,19.1
2017-12-19,15.0,28.0,1.2,0.8,7.5,26,15,15,92,45.0,1025.0,1024.0,2,3,11.6,19.1
